id	speaker	text	truth	human_wav	ref_wav	ref_text
easyenglish_s1_104453	easyenglish_s1	Я зазвичай їжджу машиною, але іноді їду автобусом.	Я зазвича́й ї́жджу маши́ною, але́ і́ноді ї́ду авто́бусом.	datasets/combined/wavs/104453.wav	training/raw/easyenglish_s1/090978.wav	Ні, але́ я б ду́же хоті́в туди́ пої́хати коли́сь.
easyenglish_s1_078707	easyenglish_s1	Я віддаю перевагу ранкам, тому що маю більше енергії.	Я віддаю́ перева́гу ра́нкам, тому́ що маю бі́льше ене́ргії.	datasets/combined/wavs/078707.wav	training/raw/easyenglish_s1/090978.wav	Ні, але́ я б ду́же хоті́в туди́ пої́хати коли́сь.
filatov_198322	filatov	Цівка автомата у вікні зрушилася праворуч. Тепер вона неквапно наближалася до Лейдекера, -	Ці́вка автома́та у вікні́ зру́шилася право́руч. Тепе́р вона́ неква́пно наближа́лася до Лейдекера, -	datasets/combined/wavs/198322.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
filatov_197384	filatov	Я дала місіс Шайрз якийсь старий жакет, що трапився під руку, і ми пішли.	Я дала́ мі́сіс Шайрз яки́йсь стари́й жаке́т, що тра́пився під ру́ку, і ми пішли́.	datasets/combined/wavs/197384.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
filatov_112290	filatov	Вона була забита всяким мотлохом, але Джулія гадала, що десь там. може лежати.	Вона́ була заби́та вся́ким мо́тлохом, але́ Джулія гада́ла, що десь там. мо́же лежа́ти.	datasets/combined/wavs/112290.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
filatov_189997	filatov	Їм не було конче потрібно притишувати свої голоси, настільки Браян був занурений у своє.	Їм не було́ ко́нче потрі́бно прити́шувати свої́ голоси́, насті́льки Браян був зану́рений у своє́.	datasets/combined/wavs/189997.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
filatov_179821	filatov	Це було б круто. Усі ці думки в голові Барбі промайнули за якусь секунду, тінь літака все ще залишалася між ним і байбаком,	Це було́ б кру́то. Усі ці думки́ в голові́ Ба́рбі промайну́ли за яку́сь секу́нду, тінь літака́ все ще залиша́лася між ним і байбако́м,	datasets/combined/wavs/179821.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
filatov_175637	filatov	Джуніор посміхнувся так, ніби знав якусь таємницю.	Джу́ніор посміхну́вся так, ні́би знав яку́сь таємни́цю.	datasets/combined/wavs/175637.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
filatov_202253	filatov	Це буде за дві з половиною години після того, як я засну.	Це бу́де за дві з полови́ною годи́ни пі́сля того́, як я засну́.	datasets/combined/wavs/202253.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
filatov_138773	filatov	З ним ділить ліжко розкішна молода жінка, сама розумна і його вважає видатною, прекрасною особистістю.	З ним ді́лить лі́жко розкі́шна молода́ жі́нка, сама розу́мна і йо́го вважа́є видатно́ю, прекра́сною особи́стістю.	datasets/combined/wavs/138773.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
filatov_137818	filatov	Татко Крук знав її більше років, аніж живуть мугирі,	Та́тко Крук знав її бі́льше ро́кі́в, ані́ж живу́ть мугирі́,	datasets/combined/wavs/137818.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
filatov_123606	filatov	Але він замкнений зараз у підвалі поліцейської дільниці.	Але́ він за́мкнений за́раз у підва́лі поліце́йської дільни́ці.	datasets/combined/wavs/123606.wav	training/raw/filatov/127791.wav	І вони́ таки́ ви́тягли ба́жа́не, факти́чно ви́мотавши з хло́пчика йо́го передсме́ртними кри́ками.
kateryna_189679	kateryna	— Що таке? — промовив Рішельє, відчинивши двері.	— Що таке́? — промо́вив Рішельє́, відчини́вши две́рі.	datasets/combined/wavs/189679.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
kateryna_111735	kateryna	Стоїш похилена наді мною.	Стої́ш похи́лена на́ді мно́ю.	datasets/combined/wavs/111735.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
kateryna_160919	kateryna	Фелтон спускався далі.	Фе́лтон спуска́вся да́лі.	datasets/combined/wavs/160919.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
kateryna_197879	kateryna	Ті слова Гава твердо собі затямив.	Ті слова́ Гава тве́рдо собі́ затя́мив.	datasets/combined/wavs/197879.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
kateryna_128756	kateryna	— Це буде кінь на зміну, — сказав Атос.	— Це бу́де кінь на змі́ну, — сказа́в Ато́с.	datasets/combined/wavs/128756.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
kateryna_109169	kateryna	Розмова повернула на веселе.	Розмо́ва поверну́ла на весе́ле.	datasets/combined/wavs/109169.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
kateryna_146566	kateryna	Герцоґ ішов так швидко, що Д'Артаньян ледве вспішався за ним.	Герцоґ ішо́в так шви́дко, що д'артанья́н ле́две вспішався за ним.	datasets/combined/wavs/146566.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
kateryna_163450	kateryna	— Що то за жарти! — приглушеним голосом мовила вона.	— Що то за жа́рти! — приглу́шеним го́лосом мо́вила вона́.	datasets/combined/wavs/163450.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
kateryna_143714	kateryna	— Не доберу я толку в твоїх речах,— каже Петро.	— Не доберу́ я то́лку в твої́х реча́х,— ка́же Петро́.	datasets/combined/wavs/143714.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
kateryna_107231	kateryna	— Справа серйозна — зауважили друзі.	— Спра́ва серйо́зна — заува́жили дру́зі.	datasets/combined/wavs/107231.wav	training/raw/kateryna/140749.wav	— Зна́єш, Мари́ночко, до ха́на приї́хали го́сті з ва́шого кра́ю, з Украї́ни?
lada_203306	lada	В тім моменті й тепер стоїш мов жива мені перед очима.	В тім моме́нті й тепе́р стої́ш мов жива́ мені́ пе́ред очи́ма.	datasets/combined/wavs/203306.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
lada_161366	lada	— А куди ви заподіли ваших попів? — спитав Д'Артаньян.	— А куди́ ви заподі́ли ва́ших попі́в? — спита́в д'артанья́н.	datasets/combined/wavs/161366.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
lada_111725	lada	Жид усе повинен мати що робити.	Жид усе́ пови́нен ма́ти що роби́ти.	datasets/combined/wavs/111725.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
lada_172380	lada	— То була жінка, зовсім неподібна до Моллі.	— То була жі́нка, зо́всім неподі́бна до Моллі.	datasets/combined/wavs/172380.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
lada_131047	lada	— Заплати, лайдаче! — крикнув мандрівець свойєму льокаєві.	— Заплати́, лайда́че! — кри́кнув мандрі́ве́ць свойєму льока́єві.	datasets/combined/wavs/131047.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
lada_161500	lada	Ви знаєте, що я ненавиджу мораль, хіба що її вчить мене Атос.	Ви зна́єте, що я нена́виджу мора́ль, хіба́ що її вчить мене́ Ато́с.	datasets/combined/wavs/161500.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
lada_134907	lada	От і почав Петро усе оповідати, як було в Паволочі.	От і поча́в Петро́ усе́ оповіда́ти, як було́ в Па́волочі.	datasets/combined/wavs/134907.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
lada_139509	lada	Портос плакав, Араміс рукою указував на небо, Атос перехристився.	Порто́с пла́кав, Арамі́с руко́ю ука́зував на не́бо, Ато́с перехристився.	datasets/combined/wavs/139509.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
lada_107596	lada	— Що? — здивовано спитав Бонасьє.	— Що? — здиво́вано спита́в Бонасьє́.	datasets/combined/wavs/107596.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
lada_156063	lada	— Е,мій любий Атосе, ви здається бачити все в чорному світлі.	— Е,мій лю́бий Атосе, ви здає́ться ба́чити все в чо́рному сві́тлі.	datasets/combined/wavs/156063.wav	training/raw/lada/180572.wav	Як і всі инші жінки́ її ра́си, вона́ народи́лася, щоб кори́тися во́лі чолові́чій.
mykyta_132318	mykyta	Легко без усякого зусилля, біла маса ринула за водою.	Ле́гко без уся́кого зуси́лля, бі́ла ма́са ри́нула за водо́ю.	datasets/combined/wavs/132318.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
mykyta_177989	mykyta	— Та хто ж приходив? Кажи мерщій.	— Та хто ж прихо́див? Кажи́ мерщі́й.	datasets/combined/wavs/177989.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
mykyta_182935	mykyta	Купували у нього, але мало.	Купува́ли у ньо́го, але́ ма́ло.	datasets/combined/wavs/182935.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
mykyta_111633	mykyta	— Хто в Гвинтовки, а я поїду просто до Васюти.	— Хто в Гвинтовки, а я пої́ду про́сто до Васю́ти.	datasets/combined/wavs/111633.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
mykyta_177906	mykyta	— Капітана королівських мушкетерів.	— Капіта́на королі́вських мушкете́рів.	datasets/combined/wavs/177906.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
mykyta_133407	mykyta	— Зараз давай ножика і проріжемо намета!	— За́раз дава́й но́жика і прорі́жемо намета!	datasets/combined/wavs/133407.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
mykyta_135403	mykyta	А я думаю, що на якийсь час треба перестати робити.	А я ду́маю, що на яки́йсь час тре́ба переста́ти роби́ти.	datasets/combined/wavs/135403.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
mykyta_194777	mykyta	— До шхуни! — скомандував Фелтон.	— До шху́ни! — скома́ндував Фе́лтон.	datasets/combined/wavs/194777.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
mykyta_138635	mykyta	Нехай королева залишається в цілковитій невідомості.	Неха́й короле́ва залиша́ється в цілкови́тій невідо́мості.	datasets/combined/wavs/138635.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
mykyta_168894	mykyta	Проте, він мав певний намір перепросити хороброго мушкетера, не принижуючи себе.	Проте́, він мав пе́вний на́мір перепроси́ти хоро́брого мушкете́ра, не прини́жуючи себе́.	datasets/combined/wavs/168894.wav	training/raw/mykyta/124923.wav	— Безсумні́вно пе́рший коха́нець та спі́льник красу́ні.
nina_136158	nina	без сумніву найнезвичайніший заповід, який я коли-небудь бачив.	без су́мніву найнезвичайніший заповід, яки́й я коли́-не́будь ба́чив.	datasets/combined/wavs/136158.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
nina_109574	nina	Він зупинився і, нахилившись, оглянув свої черевики.	Він зупини́вся і, нахили́вшись, огля́нув свої́ череви́ки.	datasets/combined/wavs/109574.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
nina_165980	nina	Мій дорогий друже, у професійних питаннях я не жартую ніколи.	Мій дороги́й дру́же, у професі́йних пита́ннях я не жарту́ю ніколи.	datasets/combined/wavs/165980.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
nina_204303	nina	не приховуючи, що ми носимо однакове прізвище.	не прихо́вуючи, що ми но́симо одна́кове прі́звище.	datasets/combined/wavs/204303.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
nina_193204	nina	Я накинув на нього ласо в найбільш підходящий момент.	Я наки́нув на ньо́го ласо́ в найбі́льш підходя́щий моме́нт.	datasets/combined/wavs/193204.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
nina_193555	nina	Змінив власну зовнішність і спокійно вийшов.	Зміни́в вла́сну зо́внішність і спокі́йно ви́йшов.	datasets/combined/wavs/193555.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
nina_112213	nina	а центральне опалення обігрівало лише вітальню, їдальню.	а центра́льне опа́лення обігріва́ло лише́ віта́льню, їда́льню.	datasets/combined/wavs/112213.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
nina_165667	nina	Я знаю, сьогодні модно бути брутальним і не приховувати почуттів, які годиться приховувати.	Я зна́ю, сього́дні мо́дно бу́ти брута́льним і не прихо́вувати почутті́в, які́ годи́ться прихо́вувати.	datasets/combined/wavs/165667.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
nina_163898	nina	З першого погляду було зрозуміло, що допомога Файерфільду вже не потрібна.	З пе́ршого по́гляду було́ зрозумі́ло, що допомо́га Файерфільду вже не потрі́бна.	datasets/combined/wavs/163898.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
nina_187759	nina	і кілька масивних стільців зі шкіряними сидіннями.	і кі́лька маси́вних стільці́в зі шкіряни́ми сиді́ннями.	datasets/combined/wavs/187759.wav	training/raw/nina/105177.wav	Та́пенс ви́трусила її, але́ бі́льше там ні́чого не було́.
oleksa_181314	oleksa	Не от так собі ходив Гава в неблизьку дорогу з Дрогобича до Старого Міста.	Не от так собі́ ходи́в Гава в неблизьку́ доро́гу з Дрого́бича до Старо́го Мі́ста.	datasets/combined/wavs/181314.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
oleksa_117816	oleksa	А кардинал дійсно розлютився.	А кардина́л ді́йсно розлюти́вся.	datasets/combined/wavs/117816.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
oleksa_131688	oleksa	Шрам уже й сам тоді почувсь, що треба дати собі пільгу.	Шрам уже́ й сам тоді́ почу́всь, що тре́ба да́ти собі́ пі́льгу.	datasets/combined/wavs/131688.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
oleksa_129084	oleksa	Проте на цей поклик гетьмана люди йшли вже не з таким захопленням, як позаторік.	Проте́ на цей по́клик ге́тьмана лю́ди йшли вже не з таки́м захо́пленням, як поза́торік.	datasets/combined/wavs/129084.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
oleksa_138947	oleksa	Атос, що бачив усе, вздрів легку усмішку на губах ґасконця.	Ато́с, що ба́чив усе́, вздрів легку́ у́смі́шку на губа́х ґасконця.	datasets/combined/wavs/138947.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
oleksa_184047	oleksa	Ти з одного боку сидиш на кріслі, я з другого.	Ти з одного бо́ку сиди́ш на крі́слі, я з дру́гого.	datasets/combined/wavs/184047.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
oleksa_166892	oleksa	— Чи не татари йдуть, боронь Боже!	— Чи не тата́ри йдуть, боро́нь Бо́же!	datasets/combined/wavs/166892.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
oleksa_191682	oleksa	— Поясніть, бо я не розумію, що ви хочете сказати.	— Поясні́ть, бо я не розумі́ю, що ви хо́чете сказа́ти.	datasets/combined/wavs/191682.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
oleksa_144145	oleksa	Здорова, хлопська натура не боялася простуди в літній ранок.	Здоро́ва, хло́пська нату́ра не боя́лася простуди в лі́тній ра́нок.	datasets/combined/wavs/144145.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
oleksa_111424	oleksa	— Вітре! — сказав кардинал — Ви негайно поїдете до Лондону.	— Ві́тре! — сказа́в кардина́л — Ви нега́йно пої́дете до Ло́ндону.	datasets/combined/wavs/111424.wav	training/raw/oleksa/183496.wav	— Я звича́йно верта́ю в п'я́тницю, а і́ноді бува́ю в мі́сті й по два рази́ до ти́жня.
olena_s0_052146	olena_s0	розгортати, розгортатися, переміщуватися, розміщуватися. Воно часто вживається в пасивному стані.	розгорта́ти, розгорта́тися, перемі́щуватися, розмі́щуватися. Воно́ ча́сто вжива́ється в паси́вному ста́ні.	datasets/combined/wavs/052146.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
olena_s0_054387	olena_s0	сили територіальної оборони,	си́ли територіа́льної оборо́ни,	datasets/combined/wavs/054387.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
olena_s0_061671	olena_s0	Для утворення питальної форми	Для утво́рення пита́льної фо́рми	datasets/combined/wavs/061671.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
olena_s0_055286	olena_s0	це великий палець ноги,	це вели́кий па́лець ноги́,	datasets/combined/wavs/055286.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
olena_s0_056093	olena_s0	Адже суперечать одне одному. Овер передбачає відповідь, а аут навпаки каже не відповідайте.	А́дже супере́чать одне́ одному. Овер передбача́є ві́дповідь, а а́ут навпаки́ ка́же не відповіда́йте.	datasets/combined/wavs/056093.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
olena_s0_052202	olena_s0	Вони завантажили припаси на вантажівку, зафіксували їх і вирушили на завдання. Наступне	Вони́ заванта́жили припа́си на вантажі́вку, зафіксува́ли їх і ви́рушили на завда́ння. Насту́пне	datasets/combined/wavs/052202.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
olena_s0_054149	olena_s0	Скорочення, що позначають різне озброєння, обладнання та транспортні засоби.	Скоро́чення, що познача́ють рі́зне озбро́єння, обладнання та транспортні за́соби.	datasets/combined/wavs/054149.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
olena_s0_055170	olena_s0	де ми вивчаємо військову англійську. І в цьому відео ми навчимося формувати назви національностей від назв країн.	де ми вивча́ємо військо́ву́ англі́йську. І в цьому ві́део ми навчимо́ся формува́ти на́зви націона́льностей від назв краї́н.	datasets/combined/wavs/055170.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
olena_s0_052332	olena_s0	і ведуть бойові дії в його тилу.	і веду́ть бойові́ ді́ї в йо́го тилу́.	datasets/combined/wavs/052332.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
olena_s0_053107	olena_s0	Протягом Першої світової війни	Про́тягом Пе́ршої світово́ї війни́	datasets/combined/wavs/053107.wav	training/raw/olena_s0/059678.wav	Щоб розпові́сти́ про те, які́ впра́ви ви вико́нуєте, як трену́єте щодня́, застосо́вуйте ле́ксику цього́ уро́ку. А з грама́тики вам знадоби́ться час
